District,Year,Licensed Educators,Instructional Personnel,Classroom Teacher,Principal,Superintendent
Alamo,2018,47139,45107,44129,72296,101628
Alcoa,2018,65620,65310,62203,98876,111817
Anderson County,2018,50559,50033,47112,82615,136496
Arlington,2018,64362,63359,60635,109551,161250
Athens,2018,58742,58058,54151,99630,129808
Bartlett,2018,61590,60855,57881,114059,208200
Bedford County,2018,49807,49439,47547,79146,109000
Bells,2018,50415,49564,47397,71500,78500
Benton County,2018,48799,48429,46544,65862,92307
Bledsoe County,2018,53164,52386,50208,62680,105670
Blount County,2018,54122,53816,51424,89451,131480
Bradford,2018,48699,46873,43954,77823,101993
Bradley County,2018,53696,53365,51363,81682,145920
Bristol,2018,58401,57516,54489,99609,150519
Campbell County,2018,50254,49913,47816,74464,117000
Cannon County,2018,47950,47950,45896,69265,101221
Carroll County,2018,49063,46390,43979,69510,97179
Carter County,2018,46233,46078,44884,61825,95993
Cheatham County,2018,47644,47644,45562,79028,130000
Chester County,2018,49570,48922,46975,73664,107690
Claiborne County,2018,47795,47298,45080,72105,99500
Clay County,2018,48462,47699,45748,64788,80385
Cleveland,2018,57571,57301,53657,96359,146443
Clinton,2018,50763,49446,46686,66975,100595
Countycke County,2018,49748,49324,47502,76384,124970
Countyffee County,2018,49444,48886,47048,70094,120514
Countyllierville,2018,61049,60417,58146,105054,195100
Crockett County,2018,48881,48108,45943,68358,112759
Cumberland County,2018,46975,46734,44247,74883,106000
Davidson County,2018,58033,57922,54988,107443,338492
Dayton,2018,49608,49433,48664,64430,50000
Decatur County,2018,50001,49610,47490,76198,82200
Dekalb County,2018,45318,45140,43322,68242,85000
Dickson County,2018,49250,48918,46966,77126,128496
Dyer County,2018,53292,52922,50241,86833,120731
Dyersburg,2018,55384,54869,52745,83806,120000
Elizabethton,2018,51951,51461,49055,81784,111416
Etowah,2018,54102,52642,47207,85974,60465
Fayette County Public Schools,2018,45709,45222,43902,60963,128750
Fayetteville,2018,53413,52851,49583,81830,118420
Fentress County,2018,47550,47183,44854,66897,91612
Franklin,2018,61493,60662,57808,110321,193414
Franklin County,2018,50398,50100,48486,76462,109372
Germantown,2018,61304,60338,57528,110671,174664
Gibson County. Spec.,2018,49489,48945,46352,78429,109810
Giles County,2018,49028,48566,46363,78612,109000
Grainger County,2018,49408,49173,46828,69713,99422
Greene County,2018,50270,49949,47954,77615,109166
Greeneville,2018,56574,56010,53132,91362,141126
Grundy County,2018,44435,43956,42130,63791,85000
Hamblen County,2018,52965,52648,50508,83255,135604
Hamilton County,2018,54641,54218,51337,95816,189856
Hancock County,2018,45501,44363,42047,68589,79030
Hardeman County Schools,2018,49931,49546,47072,75257,111415
Hardin County,2018,47635,47176,44973,64599,93659
Hawkins County,2018,47277,46882,45205,65534,104148
Haywood County,2018,46769,46262,43693,64695,106000
Henderson County,2018,49952,49568,47397,69296,105000
Henry County,2018,51924,51482,49038,78844,125400
Hickman County,2018,47592,47213,44860,74285,100000
Hollow Rock - Bruceton,2018,47598,46455,44701,69554,93626
Houston County,2018,51851,51381,48490,70285,92773
Humboldt,2018,48269,47110,43400,79900,132159
Humphreys County,2018,48069,47854,45916,68358,92540
